participant,direction,target_pos,Mean RT,sd_RT
100,Downward,Bottom,1032.552145,175.0681848
100,Downward,Middle,956.8301007,105.637196
100,Downward,Top,869.6964059,121.0514852
100,Upward,Bottom,749.137849,146.2464965
100,Upward,Middle,1049.850673,387.2824098
100,Upward,Top,1529.247692,613.9116983
103,Downward,Bottom,959.587025,298.6834767
103,Downward,Middle,867.982229,282.4317779
103,Downward,Top,888.2461151,115.4298252
103,Upward,Bottom,1345.447313,757.8229478
103,Upward,Middle,982.0300701,722.9096093
103,Upward,Top,723.5852392,222.4073978
105,Downward,Bottom,791.7303565,149.9519894
105,Downward,Middle,979.1736399,384.8583215
105,Downward,Top,725.0755587,182.7640811
105,Upward,Bottom,637.6309014,115.7098493
105,Upward,Middle,616.7980853,104.0441857
105,Upward,Top,808.4108785,139.7299153
107,Downward,Bottom,1191.612214,896.6282715
107,Downward,Middle,600.1427248,156.2858155
107,Downward,Top,675.1887685,196.8617889
107,Upward,Bottom,954.1860467,344.2560781
107,Upward,Middle,537.6632305,76.21497255
107,Upward,Top,983.3707113,430.4098368
108,Downward,Bottom,685.8052062,130.6053607
108,Downward,Middle,662.1067711,118.6217837
108,Downward,Top,788.932895,157.6398482
108,Upward,Bottom,745.2145926,115.7248644
108,Upward,Middle,708.4498551,114.1178219
108,Upward,Top,823.31304,223.6564373
109,Downward,Bottom,1791.366344,1331.36329
109,Downward,Middle,741.6357364,236.3467164
109,Downward,Top,925.0447525,51.81379191
109,Upward,Bottom,1894.126434,168.5438616
109,Upward,Middle,829.2412942,181.695259
109,Upward,Top,1474.884696,884.3674724
110,Downward,Bottom,627.9477788,27.60071879
110,Downward,Middle,567.628372,87.44686112
110,Downward,Top,492.7670146,57.84978086
110,Upward,Bottom,671.6072341,99.49779608
110,Upward,Middle,638.124115,111.8273312
110,Upward,Top,610.4806033,106.1150301
112,Downward,Bottom,686.9839701,194.3002834
112,Downward,Middle,909.2038932,215.7085571
112,Downward,Top,691.4263921,119.9732457
112,Upward,Bottom,915.6230333,525.5606672
112,Upward,Middle,923.8722287,373.2844911
112,Upward,Top,909.6364322,184.3882392
113,Downward,Bottom,841.6538956,485.5200481
113,Downward,Middle,596.019565,214.3392266
113,Downward,Top,737.6108219,223.7064221
113,Upward,Bottom,633.5010374,100.840886
113,Upward,Middle,541.8542598,98.58962291
113,Upward,Top,733.456707,402.6013634
114,Downward,Bottom,1037.518635,349.8541231
114,Downward,Middle,708.4665481,51.77821266
114,Downward,Top,805.6292465,210.9654395
114,Upward,Bottom,900.0513933,319.1867772
114,Upward,Middle,808.4244524,88.67497735
114,Upward,Top,1824.752301,1689.273674
115,Downward,Bottom,854.2176309,321.4374092
115,Downward,Middle,633.4772831,104.4859667
115,Downward,Top,539.0824496,150.2390474
115,Upward,Bottom,683.4772996,49.03299697
115,Upward,Middle,679.2822974,94.59536073
115,Upward,Top,800.0767423,268.6437886
116,Downward,Bottom,1336.231724,93.26934085
116,Downward,Middle,1156.032595,39.46369945
116,Downward,Top,1304.89696,139.8580755
116,Upward,Bottom,1406.511099,330.0154914
116,Upward,Middle,1088.292374,212.519817
116,Upward,Top,1195.375343,125.9204741
117,Downward,Bottom,629.294696,178.0690985
117,Downward,Middle,500.2008774,60.84442633
117,Downward,Top,641.7807952,104.047472
117,Upward,Bottom,512.7202492,98.36489237
117,Upward,Middle,500.2286046,73.22358614
117,Upward,Top,466.8697126,91.26341134
118,Downward,Bottom,707.6402562,130.4192516
118,Downward,Middle,633.263169,100.3063563
118,Downward,Top,748.1227614,66.88735384
118,Upward,Bottom,1026.139809,713.3456666
118,Upward,Middle,825.2113787,130.8846677
118,Upward,Top,628.7688374,44.46006466
119,Downward,Bottom,766.7710699,81.59661287
119,Downward,Middle,575.1993297,86.62416899
119,Downward,Top,575.0882553,84.52994053
119,Upward,Bottom,629.3210989,76.22742102
119,Upward,Middle,533.4670419,120.0898459
119,Upward,Top,616.8253987,124.7002325
120,Downward,Bottom,633.4526183,147.1680113
120,Downward,Middle,633.4666888,140.7026349
120,Downward,Top,783.3963031,243.7233034
120,Upward,Bottom,679.2826285,110.7994969
120,Upward,Middle,554.3410211,90.62671358
120,Upward,Top,762.4984315,181.2126832
121,Downward,Bottom,791.4361467,327.7864973
121,Downward,Middle,714.5733178,104.0671026
121,Downward,Top,812.735079,71.01161268
121,Upward,Bottom,638.2419359,101.8684394
121,Upward,Middle,771.4174546,205.5595355
121,Upward,Top,908.7758527,664.4077789
122,Downward,Bottom,1016.672162,447.2677613
122,Downward,Middle,625.1382636,95.71370147
122,Downward,Top,958.3431413,387.7667435
122,Upward,Bottom,700.1433372,52.68105587
122,Upward,Middle,675.1060835,90.7437347
122,Upward,Top,550.2065222,145.8198897
123,Downward,Bottom,641.8727502,137.6526892
123,Downward,Middle,511.3375858,113.4524904
123,Downward,Top,516.9023396,70.71360647
123,Upward,Bottom,687.6434986,96.51379691
123,Upward,Middle,554.3389519,91.62400895
123,Upward,Top,620.9642016,163.9976004
124,Downward,Bottom,554.3658297,80.94339086
124,Downward,Middle,694.9448889,234.2972804
124,Downward,Top,579.0852752,181.2402089
124,Upward,Bottom,549.9218627,14.87812511
124,Upward,Middle,666.8869641,142.7718259
124,Upward,Top,748.9196457,84.18141256
125,Downward,Bottom,1624.780624,1973.775802
125,Downward,Middle,600.0493075,57.80266753
125,Downward,Top,554.3363861,132.1121038
125,Upward,Bottom,591.8210037,41.9583531
125,Upward,Middle,700.1220659,208.0696012
125,Upward,Top,1262.450261,934.4894829
126,Downward,Bottom,737.2266918,149.8708941
126,Downward,Middle,687.729119,152.9355957
126,Downward,Top,695.933041,101.211136
126,Upward,Bottom,693.7886652,111.3897485
126,Upward,Middle,558.082139,95.09663505
126,Upward,Top,778.5543597,161.0170555
127,Downward,Bottom,608.5210589,56.97670347
127,Downward,Middle,666.8505215,158.9182125
127,Downward,Top,579.3575002,139.6276471
127,Upward,Bottom,1045.843088,280.9263017
127,Upward,Middle,704.3081292,169.0258178
127,Upward,Top,1004.224799,497.4800288
128,Downward,Bottom,760.3091768,216.2939757
128,Downward,Middle,1111.907254,560.5747363
128,Downward,Top,842.8919262,171.4779751
128,Upward,Bottom,716.4177264,73.01605557
128,Upward,Middle,683.1493042,74.26594859
128,Upward,Top,1122.027226,1012.78196
129,Downward,Bottom,521.0391561,59.81381187
129,Downward,Middle,845.937211,423.5186153
129,Downward,Top,808.3963113,316.2550529
129,Upward,Bottom,620.9735544,147.3861399
129,Upward,Middle,511.7874563,145.0589276
129,Upward,Top,533.5309663,118.5974168
130,Downward,Bottom,1401.639096,464.2234548
130,Downward,Middle,1119.274156,196.6366923
130,Downward,Top,1106.413032,47.1030049
130,Upward,Bottom,1125.034472,165.7341943
130,Upward,Middle,1100.587191,76.16523976
130,Upward,Top,1236.890079,201.6001009
131,Downward,Bottom,666.8202009,57.73520958
131,Downward,Middle,525.1567705,51.80025298
131,Downward,Top,575.1426337,16.64487977
131,Upward,Bottom,683.4696298,101.3557514
131,Upward,Middle,679.3272403,212.6467986
131,Upward,Top,683.4032224,147.2407288
132,Downward,Bottom,715.0597725,136.430771
132,Downward,Middle,479.0241768,125.1202282
132,Downward,Top,674.11308,158.4712478
132,Upward,Bottom,682.1049535,146.431121
132,Upward,Middle,621.8869913,68.11706186
132,Upward,Top,632.5949658,67.65307705
133,Downward,Bottom,770.9155838,253.1690495
133,Downward,Middle,600.1610992,59.28880357
133,Downward,Top,670.9642182,114.9249121
133,Upward,Bottom,1029.16331,239.2932497
133,Upward,Middle,737.605442,211.7987619
133,Upward,Top,708.4357585,103.1610863
134,Downward,Bottom,747.0863625,121.4279825
134,Downward,Middle,880.1340623,166.5010926
134,Downward,Top,775.9867699,86.76561626
134,Upward,Bottom,610.6033464,133.5920699
134,Upward,Middle,764.9401414,111.8197623
134,Upward,Top,984.5192262,304.7899761
135,Downward,Bottom,726.7661346,211.5853238
135,Downward,Middle,676.8002676,218.5200692
135,Downward,Top,728.7699174,250.1064521
135,Upward,Bottom,839.1591738,137.4350389
135,Upward,Middle,591.688415,77.17913849
135,Upward,Top,719.0646895,379.6859915
136,Downward,Bottom,600.9084643,95.95535477
136,Downward,Middle,520.4524891,79.79851172
136,Downward,Top,906.7900012,126.9582321
136,Upward,Bottom,787.9429221,162.5484263
136,Upward,Middle,636.413161,165.9037207
136,Upward,Top,695.9064729,39.27850093
137,Downward,Bottom,487.6668557,45.88430413
137,Downward,Middle,520.9800599,47.85441674
137,Downward,Top,533.5019975,73.26028164
137,Upward,Bottom,561.2802167,25.41254988
137,Upward,Middle,575.1534763,122.0412661
137,Upward,Top,483.5278045,71.96627968
138,Downward,Bottom,1077.283792,636.0257961
138,Downward,Middle,616.6881749,141.4072475
138,Downward,Top,720.7473969,213.7532748
138,Upward,Bottom,829.8968961,176.3592288
138,Upward,Middle,715.1822882,212.4129104
138,Upward,Top,1031.589405,249.3152411
139,Downward,Bottom,521.018878,61.43494789
139,Downward,Middle,562.6427123,97.48107217
139,Downward,Top,550.1537991,71.99294655
139,Upward,Bottom,483.4687083,106.1236266
139,Upward,Middle,446.0450078,84.28244859
139,Upward,Top,666.7657397,142.1187541
140,Downward,Bottom,710.076175,71.32688891
140,Downward,Middle,605.9613063,149.9771397
140,Downward,Top,693.6680488,260.000336
140,Upward,Bottom,645.0231183,75.69300706
140,Upward,Middle,583.1136159,140.1530574
140,Upward,Top,479.9140619,329.801221
141,Downward,Bottom,820.8202519,146.7512165
141,Downward,Middle,641.7853474,39.65073117
141,Downward,Top,596.0022665,54.99887292
141,Upward,Bottom,687.5674351,136.3453524
141,Upward,Middle,662.6434904,109.9716767
141,Upward,Top,804.2357405,193.0205224
142,Downward,Bottom,762.5936972,364.0833523
142,Downward,Middle,441.8755808,61.60006676
142,Downward,Top,591.8128925,115.8030313
142,Upward,Bottom,575.1504967,21.47888648
142,Upward,Middle,504.4007629,88.63362406
142,Upward,Top,854.2486689,496.6143366
143,Downward,Bottom,608.4699084,139.0676032
143,Downward,Middle,670.9556931,158.2889967
143,Downward,Top,783.4058213,197.6048028
143,Upward,Bottom,775.1221735,150.5433388
143,Upward,Middle,744.5040262,296.3179685
143,Upward,Top,1012.43528,622.5117658
144,Downward,Bottom,616.8498179,68.06590447
144,Downward,Middle,611.6669801,45.86110762
144,Downward,Top,639.0942785,58.48337755
144,Upward,Bottom,571.4402297,72.1152345
144,Upward,Middle,747.5395177,213.4731471
144,Upward,Top,820.3333106,324.8429438